WorkerId,Input.code,Answer.best_coh
worker_104,256#1#0,A
worker_191,256#1#0,B
worker_215,256#1#0,A
worker_029,256#2#0,A
worker_049,256#2#0,A
worker_151,256#2#0,A
worker_029,256#0#3,B
worker_049,256#0#3,B
worker_150,256#0#3,A
worker_082,256#0#4,B
worker_151,256#0#4,B
worker_181,256#0#4,B
worker_029,256#1#2,A
worker_082,256#1#2,A
worker_098,256#1#2,B
worker_049,256#3#1,A
worker_055,256#3#1,A
worker_191,256#3#1,A
worker_061,256#4#1,A
worker_171,256#4#1,B
worker_191,256#4#1,B
worker_029,256#2#3,B
worker_049,256#2#3,B
worker_151,256#2#3,B
worker_113,256#2#4,B
worker_183,256#2#4,A
worker_215,256#2#4,B
worker_029,256#3#4,A
worker_113,256#3#4,A
worker_151,256#3#4,A
worker_079,126#0#1,A
worker_082,126#0#1,B
worker_191,126#0#1,A
worker_018,126#0#2,B
worker_038,126#0#2,A
worker_159,126#0#2,B
worker_163,126#3#0,B
worker_191,126#3#0,B
worker_215,126#3#0,A
worker_049,126#4#0,A
worker_122,126#4#0,A
worker_191,126#4#0,B
worker_049,126#1#2,B
worker_095,126#1#2,A
worker_186,126#1#2,A
worker_049,126#1#3,B
worker_082,126#1#3,A
worker_203,126#1#3,A
worker_055,126#1#4,B
worker_113,126#1#4,B
worker_179,126#1#4,A
worker_137,126#3#2,A
worker_159,126#3#2,B
worker_183,126#3#2,B
worker_012,126#4#2,A
worker_151,126#4#2,A
worker_203,126#4#2,B
worker_046,126#4#3,A
worker_049,126#4#3,A
worker_082,126#4#3,A
worker_014,390#0#1,B
worker_113,390#0#1,A
worker_191,390#0#1,A
worker_049,390#0#2,A
worker_075,390#0#2,B
worker_170,390#0#2,A
worker_151,390#3#0,A
worker_183,390#3#0,B
worker_191,390#3#0,B
worker_029,390#4#0,A
worker_046,390#4#0,A
worker_186,390#4#0,A
worker_049,390#1#2,B
worker_113,390#1#2,B
worker_183,390#1#2,B
worker_104,390#3#1,B
worker_191,390#3#1,B
worker_215,390#3#1,B
worker_049,390#4#1,A
worker_082,390#4#1,B
worker_183,390#4#1,A
worker_046,390#3#2,B
worker_074,390#3#2,B
worker_104,390#3#2,A
worker_049,390#2#4,A
worker_065,390#2#4,A
worker_183,390#2#4,B
worker_049,390#4#3,B
worker_151,390#4#3,A
worker_156,390#4#3,B
worker_119,418#0#1,B
worker_191,418#0#1,A
worker_215,418#0#1,B
worker_023,418#0#2,A
worker_135,418#0#2,A
worker_191,418#0#2,A
worker_055,418#0#3,A
worker_159,418#0#3,B
worker_186,418#0#3,B
worker_049,418#4#0,A
worker_159,418#4#0,B
worker_191,418#4#0,B
worker_082,418#2#1,B
worker_159,418#2#1,A
worker_215,418#2#1,B
worker_113,418#1#3,B
worker_186,418#1#3,A
worker_191,418#1#3,A
worker_104,418#1#4,A
worker_210,418#1#4,A
worker_049,418#2#3,A
worker_082,418#2#3,B
worker_183,418#2#3,B
worker_026,418#2#4,A
worker_114,418#2#4,A
worker_182,418#2#4,A
worker_049,418#3#4,B
worker_160,418#3#4,A
worker_200,418#3#4,B
worker_080,407#0#1,B
worker_082,407#0#1,B
worker_183,407#0#1,A
worker_005,407#2#0,B
worker_049,407#2#0,A
worker_183,407#2#0,B
worker_012,407#3#0,B
worker_151,407#3#0,B
worker_215,407#3#0,B
worker_039,407#0#4,A
worker_040,407#0#4,B
worker_079,407#0#4,A
worker_010,407#1#2,B
worker_082,407#1#2,A
worker_186,407#1#2,A
worker_006,407#1#3,B
worker_029,407#1#3,A
worker_079,407#1#3,A
worker_029,407#1#4,A
worker_031,407#1#4,B
worker_113,407#1#4,B
worker_014,407#3#2,A
worker_049,407#3#2,B
worker_104,407#3#2,A
worker_014,407#2#4,B
worker_049,407#2#4,B
worker_055,407#2#4,A
worker_159,407#4#3,A
worker_191,407#4#3,A
worker_215,407#4#3,A
worker_045,577#1#0,A
worker_104,577#1#0,A
worker_131,577#1#0,A
worker_104,577#0#2,B
worker_170,577#0#2,A
worker_212,577#0#2,A
worker_044,577#3#0,B
worker_082,577#3#0,A
worker_122,577#3#0,A
worker_014,577#4#0,B
worker_087,577#4#0,A
worker_212,577#4#0,B
worker_101,577#1#2,B
worker_171,577#1#2,A
worker_212,577#1#2,B
worker_045,577#1#3,A
worker_055,577#1#3,A
worker_171,577#1#3,A
worker_131,577#4#1,B
worker_162,577#4#1,B
worker_190,577#4#1,A
worker_082,577#3#2,A
worker_087,577#3#2,A
worker_186,577#3#2,A
worker_101,577#2#4,B
worker_152,577#2#4,B
worker_186,577#2#4,A
worker_082,577#4#3,B
worker_087,577#4#3,B
worker_131,577#4#3,B
worker_060,172#1#0,A
worker_201,172#1#0,A
worker_215,172#1#0,A
worker_045,172#0#2,A
worker_104,172#0#2,B
worker_152,172#0#2,A
worker_055,172#0#3,A
worker_079,172#0#3,B
worker_144,172#0#3,A
worker_045,172#4#0,A
worker_082,172#4#0,A
worker_101,172#4#0,A
worker_113,172#1#2,B
worker_131,172#1#2,A
worker_212,172#1#2,B
worker_162,172#1#3,A
worker_170,172#1#3,A
worker_215,172#1#3,A
worker_043,172#1#4,B
worker_055,172#1#4,A
worker_104,172#1#4,A
worker_101,172#3#2,B
worker_113,172#3#2,A
worker_190,172#3#2,B
worker_101,172#4#2,A
worker_171,172#4#2,A
worker_212,172#4#2,A
worker_055,172#4#3,B
worker_059,172#4#3,B
worker_215,172#4#3,A
worker_045,394#1#0,A
worker_087,394#1#0,A
worker_201,394#1#0,A
worker_079,394#0#2,A
worker_113,394#0#2,A
worker_201,394#0#2,A
worker_037,394#3#0,A
worker_060,394#3#0,A
worker_171,394#3#0,A
worker_014,394#0#4,A
worker_055,394#0#4,B
worker_207,394#0#4,B
worker_113,394#2#1,B
worker_207,394#2#1,A
worker_215,394#2#1,B
worker_055,394#3#1,A
worker_079,394#3#1,B
worker_087,394#3#1,B
worker_108,394#1#4,A
worker_170,394#1#4,A
worker_212,394#1#4,B
worker_045,394#2#3,A
worker_170,394#2#3,A
worker_171,394#2#3,A
worker_104,394#2#4,A
worker_152,394#2#4,A
worker_215,394#2#4,A
worker_059,394#3#4,B
worker_101,394#3#4,A
worker_152,394#3#4,A
worker_070,259#1#0,A
worker_079,259#1#0,B
worker_171,259#1#0,A
worker_022,259#0#2,B
worker_059,259#0#2,B
worker_146,259#0#2,A
worker_143,259#3#0,A
worker_171,259#3#0,B
worker_190,259#3#0,B
worker_043,259#4#0,A
worker_082,259#4#0,B
worker_104,259#4#0,B
worker_001,259#2#1,B
worker_022,259#2#1,A
worker_207,259#2#1,B
worker_087,259#1#3,A
worker_143,259#1#3,A
worker_171,259#1#3,A
worker_060,259#4#1,B
worker_104,259#4#1,B
worker_152,259#4#1,B
worker_000,259#2#3,A
worker_082,259#2#3,A
worker_212,259#2#3,B
worker_045,259#4#2,B
worker_190,259#4#2,B
worker_207,259#4#2,A
worker_045,259#4#3,B
worker_059,259#4#3,A
worker_146,259#4#3,A
worker_045,643#1#0,A
worker_087,643#1#0,A
worker_190,643#1#0,A
worker_001,643#0#2,B
worker_059,643#0#2,B
worker_190,643#0#2,B
worker_043,643#0#3,A
worker_108,643#0#3,A
worker_146,643#0#3,A
worker_162,643#4#0,A
worker_190,643#4#0,B
worker_207,643#4#0,B
worker_000,643#2#1,A
worker_037,643#2#1,A
worker_101,643#2#1,A
worker_000,643#1#3,A
worker_043,643#1#3,B
worker_045,643#1#3,A
worker_055,643#1#4,B
worker_113,643#1#4,A
worker_152,643#1#4,A
worker_002,643#2#3,A
worker_101,643#2#3,A
worker_190,643#2#3,A
worker_079,643#2#4,B
worker_082,643#2#4,B
worker_152,643#2#4,A
worker_014,643#3#4,B
worker_144,643#3#4,B
worker_212,643#3#4,B
worker_134,717#0#1,A
worker_162,717#0#1,B
worker_207,717#0#1,A
worker_038,717#2#0,A
worker_171,717#2#0,B
worker_203,717#2#0,B
worker_082,717#0#3,A
worker_131,717#0#3,A
worker_190,717#0#3,A
worker_083,717#0#4,A
worker_104,717#0#4,A
worker_124,717#0#4,A
worker_104,717#1#2,A
worker_190,717#1#2,A
worker_199,717#1#2,B
worker_186,717#3#1,B
worker_203,717#3#1,B
worker_214,717#3#1,B
worker_079,717#1#4,B
worker_101,717#1#4,B
worker_207,717#1#4,A
worker_044,717#2#3,B
worker_143,717#2#3,B
worker_144,717#2#3,A
worker_087,717#2#4,B
worker_095,717#2#4,B
worker_186,717#2#4,B
worker_079,717#4#3,A
worker_083,717#4#3,B
worker_087,717#4#3,A
worker_038,87#0#1,A
worker_101,87#0#1,A
worker_124,87#0#1,A
worker_103,87#2#0,B
worker_131,87#2#0,B
worker_203,87#2#0,A
worker_000,87#0#3,B
worker_044,87#0#3,A
worker_201,87#0#3,A
worker_107,87#4#0,B
worker_203,87#4#0,B
worker_215,87#4#0,B
worker_014,87#1#2,A
worker_143,87#1#2,A
worker_201,87#1#2,A
worker_006,87#3#1,B
worker_171,87#3#1,B
worker_203,87#3#1,B
worker_014,87#1#4,A
worker_131,87#1#4,A
worker_199,87#1#4,B
worker_070,87#2#3,A
worker_083,87#2#3,B
worker_215,87#2#3,B
worker_083,87#4#2,B
worker_186,87#4#2,B
worker_190,87#4#2,A
worker_012,87#3#4,A
worker_087,87#3#4,A
worker_186,87#3#4,A
worker_014,666#0#1,B
worker_048,666#0#1,B
worker_082,666#0#1,B
worker_083,666#0#2,B
worker_087,666#0#2,A
