WorkerId,Input.code,Answer.best_grammar
worker_019,577#1#0,A
worker_144,577#1#0,A
worker_155,577#1#0,A
worker_152,577#0#2,B
worker_189,577#0#2,B
worker_199,577#0#2,B
worker_019,577#3#0,A
worker_055,577#3#0,B
worker_183,577#3#0,A
worker_046,577#4#0,B
worker_183,577#4#0,A
worker_188,577#4#0,B
worker_042,577#1#2,B
worker_055,577#1#2,B
worker_152,577#1#2,A
worker_001,577#1#3,B
worker_075,577#1#3,A
worker_152,577#1#3,A
worker_027,577#4#1,B
worker_043,577#4#1,B
worker_183,577#4#1,A
worker_056,577#3#2,A
worker_159,577#3#2,B
worker_170,577#3#2,B
worker_126,577#2#4,B
worker_146,577#2#4,A
worker_180,577#2#4,A
worker_019,577#4#3,B
worker_094,577#4#3,A
worker_199,577#4#3,B
worker_027,172#1#0,A
worker_159,172#1#0,B
worker_199,172#1#0,A
worker_086,172#0#2,A
worker_094,172#0#2,B
worker_122,172#0#2,B
worker_064,172#0#3,A
worker_094,172#0#3,A
worker_173,172#0#3,A
worker_086,172#4#0,A
worker_113,172#4#0,B
worker_170,172#4#0,A
worker_044,172#1#2,A
worker_112,172#1#2,B
worker_180,172#1#2,B
worker_006,172#1#3,B
worker_037,172#1#3,A
worker_173,172#1#3,A
worker_041,172#1#4,B
worker_142,172#1#4,B
worker_155,172#1#4,A
worker_027,172#3#2,B
worker_089,172#3#2,B
worker_170,172#3#2,B
worker_044,172#4#2,A
worker_094,172#4#2,A
worker_146,172#4#2,B
worker_094,172#4#3,A
worker_155,172#4#3,B
worker_189,172#4#3,A
worker_055,394#1#0,B
worker_146,394#1#0,A
worker_170,394#1#0,A
worker_056,394#0#2,A
worker_089,394#0#2,B
worker_189,394#0#2,B
worker_001,394#3#0,B
worker_037,394#3#0,B
worker_043,394#3#0,B
worker_042,394#0#4,B
worker_126,394#0#4,A
worker_148,394#0#4,A
worker_027,394#2#1,A
worker_037,394#2#1,B
worker_152,394#2#1,B
worker_044,394#3#1,B
worker_066,394#3#1,A
worker_173,394#3#1,B
worker_006,394#1#4,B
worker_094,394#1#4,A
worker_126,394#1#4,A
worker_027,394#2#3,A
worker_094,394#2#3,B
worker_142,394#2#3,A
worker_043,394#2#4,A
worker_046,394#2#4,B
worker_064,394#2#4,B
worker_113,394#3#4,B
worker_155,394#3#4,B
worker_170,394#3#4,B
worker_046,259#1#0,A
worker_152,259#1#0,A
worker_170,259#1#0,A
worker_046,259#0#2,B
worker_126,259#0#2,A
worker_189,259#0#2,A
worker_113,259#3#0,A
worker_155,259#3#0,B
worker_189,259#3#0,B
worker_006,259#4#0,B
worker_027,259#4#0,A
worker_044,259#4#0,A
worker_001,259#2#1,A
worker_146,259#2#1,B
worker_207,259#2#1,B
worker_001,259#1#3,B
worker_019,259#1#3,A
worker_122,259#1#3,B
worker_064,259#4#1,B
worker_189,259#4#1,B
worker_197,259#4#1,B
worker_094,259#2#3,B
worker_152,259#2#3,B
worker_207,259#2#3,B
worker_146,259#4#2,A
worker_155,259#4#2,B
worker_212,259#4#2,B
worker_006,259#4#3,A
worker_044,259#4#3,B
worker_188,259#4#3,A
worker_041,643#1#0,A
worker_089,643#1#0,B
worker_113,643#1#0,B
worker_043,643#0#2,A
worker_207,643#0#2,A
worker_212,643#0#2,A
worker_006,643#0#3,B
worker_064,643#0#3,A
worker_170,643#0#3,A
worker_056,643#4#0,B
worker_122,643#4#0,B
worker_207,643#4#0,B
worker_037,643#2#1,B
worker_066,643#2#1,A
worker_133,643#2#1,A
worker_043,643#1#3,A
worker_094,643#1#3,A
worker_199,643#1#3,B
worker_133,643#1#4,B
worker_144,643#1#4,B
worker_207,643#1#4,A
worker_046,643#2#3,B
worker_146,643#2#3,B
worker_188,643#2#3,A
worker_001,643#2#4,A
worker_144,643#2#4,B
worker_148,643#2#4,A
worker_037,643#3#4,B
worker_046,643#3#4,A
worker_118,643#3#4,B
worker_044,717#0#1,A
worker_089,717#0#1,A
worker_213,717#0#1,A
worker_077,717#2#0,B
worker_113,717#2#0,A
worker_173,717#2#0,B
worker_043,717#0#3,B
worker_064,717#0#3,A
worker_170,717#0#3,A
worker_001,717#0#4,A
worker_122,717#0#4,A
worker_126,717#0#4,A
worker_019,717#1#2,A
worker_037,717#1#2,A
worker_189,717#1#2,A
worker_001,717#3#1,B
worker_170,717#3#1,B
worker_188,717#3#1,A
worker_019,717#1#4,B
worker_037,717#1#4,A
worker_118,717#1#4,B
worker_044,717#2#3,B
worker_046,717#2#3,A
worker_152,717#2#3,B
worker_006,717#2#4,B
worker_180,717#2#4,B
worker_194,717#2#4,A
worker_055,717#4#3,A
worker_089,717#4#3,A
worker_144,717#4#3,A
worker_006,87#0#1,A
worker_044,87#0#1,B
worker_199,87#0#1,A
worker_019,87#2#0,A
worker_041,87#2#0,A
worker_064,87#2#0,B
worker_041,87#0#3,A
worker_126,87#0#3,A
worker_188,87#0#3,A
worker_072,87#4#0,B
worker_155,87#4#0,A
worker_199,87#4#0,B
worker_180,87#1#2,B
worker_197,87#1#2,B
worker_214,87#1#2,A
worker_113,87#3#1,A
worker_146,87#3#1,B
worker_199,87#3#1,B
worker_043,87#1#4,A
worker_044,87#1#4,A
worker_188,87#1#4,A
worker_064,87#2#3,A
worker_173,87#2#3,A
worker_194,87#2#3,A
worker_046,87#4#2,B
worker_064,87#4#2,A
worker_145,87#4#2,A
worker_055,87#3#4,B
worker_089,87#3#4,A
worker_197,87#3#4,A
worker_041,666#0#1,A
worker_094,666#0#1,B
worker_152,666#0#1,B
worker_044,666#0#2,A
worker_118,666#0#2,B
worker_180,666#0#2,A
worker_019,666#0#3,B
worker_122,666#0#3,A
worker_170,666#0#3,A
worker_037,666#4#0,B
worker_094,666#4#0,A
worker_212,666#4#0,B
worker_046,666#1#2,B
worker_094,666#1#2,A
worker_152,666#1#2,A
worker_197,666#3#1,A
worker_207,666#3#1,A
worker_212,666#3#1,A
worker_094,666#1#4,A
worker_189,666#1#4,A
worker_212,666#1#4,A
worker_073,666#3#2,B
worker_094,666#3#2,A
worker_188,666#3#2,A
worker_064,666#4#2,A
worker_173,666#4#2,A
worker_212,666#4#2,A
worker_170,666#3#4,A
worker_189,666#3#4,A
worker_199,666#3#4,B
worker_146,534#1#0,A
worker_212,534#1#0,A
worker_214,534#1#0,B
worker_055,534#0#2,B
worker_180,534#0#2,A
worker_183,534#0#2,B
worker_019,534#0#3,A
worker_036,534#0#3,B
worker_194,534#0#3,A
worker_159,534#4#0,B
