WorkerId,Input.code,Answer.best_redun
worker_083,577#1#0,A
worker_123,577#1#0,A
worker_130,577#1#0,A
worker_045,577#0#2,A
worker_055,577#0#2,B
worker_183,577#0#2,A
worker_045,577#3#0,A
worker_081,577#3#0,B
worker_170,577#3#0,B
worker_063,577#4#0,A
worker_174,577#4#0,A
worker_191,577#4#0,B
worker_028,577#1#2,B
worker_044,577#1#2,B
worker_212,577#1#2,B
worker_083,577#1#3,A
worker_121,577#1#3,A
worker_183,577#1#3,B
worker_045,577#4#1,B
worker_054,577#4#1,A
worker_155,577#4#1,A
worker_045,577#3#2,B
worker_083,577#3#2,A
worker_212,577#3#2,A
worker_123,577#2#4,A
worker_130,577#2#4,B
worker_212,577#2#4,A
worker_089,577#4#3,A
worker_123,577#4#3,B
worker_212,577#4#3,A
worker_049,172#1#0,A
worker_170,172#1#0,A
worker_191,172#1#0,B
worker_021,172#0#2,A
worker_130,172#0#2,B
worker_180,172#0#2,B
worker_055,172#0#3,A
worker_130,172#0#3,B
worker_212,172#0#3,A
worker_130,172#4#0,B
worker_191,172#4#0,A
worker_082,172#1#2,A
worker_174,172#1#2,B
worker_212,172#1#2,B
worker_130,172#1#3,B
worker_170,172#1#3,A
worker_191,172#1#3,A
worker_028,172#1#4,B
worker_183,172#1#4,B
worker_191,172#1#4,B
worker_045,172#3#2,B
worker_055,172#3#2,B
worker_174,172#3#2,B
worker_049,172#4#2,B
worker_188,172#4#2,A
worker_212,172#4#2,A
worker_089,172#4#3,A
worker_140,172#4#3,A
worker_191,172#4#3,A
worker_130,394#1#0,A
worker_183,394#1#0,B
worker_191,394#1#0,B
worker_140,394#0#2,B
worker_154,394#0#2,A
worker_171,394#0#2,B
worker_081,394#3#0,B
worker_089,394#3#0,B
worker_170,394#3#0,A
worker_089,394#0#4,A
worker_130,394#0#4,B
worker_174,394#0#4,A
worker_090,394#2#1,B
worker_140,394#2#1,A
worker_180,394#2#1,A
worker_007,394#3#1,A
worker_130,394#3#1,A
