rater,response,item
rater0,A,256#1#0
rater1,B,256#1#0
rater2,A,256#1#0
rater0,A,256#2#0
rater1,A,256#2#0
rater2,A,256#2#0
rater0,B,256#0#3
rater1,B,256#0#3
rater2,A,256#0#3
rater0,B,256#0#4
rater1,B,256#0#4
rater2,B,256#0#4
rater0,A,256#1#2
rater1,A,256#1#2
rater2,B,256#1#2
rater0,A,256#3#1
rater1,A,256#3#1
rater2,A,256#3#1
rater0,A,256#4#1
rater1,B,256#4#1
rater2,B,256#4#1
rater0,B,256#2#3
rater1,B,256#2#3
rater2,B,256#2#3
rater0,B,256#2#4
rater1,A,256#2#4
rater2,B,256#2#4
rater0,A,256#3#4
rater1,A,256#3#4
rater2,A,256#3#4
rater0,A,126#0#1
rater1,B,126#0#1
rater2,A,126#0#1
rater0,B,126#0#2
rater1,A,126#0#2
rater2,B,126#0#2
rater0,B,126#3#0
rater1,B,126#3#0
rater2,A,126#3#0
rater0,A,126#4#0
rater1,A,126#4#0
rater2,B,126#4#0
rater0,B,126#1#2
rater1,A,126#1#2
rater2,A,126#1#2
rater0,B,126#1#3
rater1,A,126#1#3
rater2,A,126#1#3
rater0,B,126#1#4
rater1,B,126#1#4
rater2,A,126#1#4
rater0,A,126#3#2
rater1,B,126#3#2
rater2,B,126#3#2
rater0,A,126#4#2
rater1,A,126#4#2
rater2,B,126#4#2
rater0,A,126#4#3
rater1,A,126#4#3
rater2,A,126#4#3
rater0,B,390#0#1
rater1,A,390#0#1
rater2,A,390#0#1
rater0,A,390#0#2
rater1,B,390#0#2
rater2,A,390#0#2
rater0,A,390#3#0
rater1,B,390#3#0
rater2,B,390#3#0
rater0,A,390#4#0
rater1,A,390#4#0
rater2,A,390#4#0
rater0,B,390#1#2
rater1,B,390#1#2
rater2,B,390#1#2
rater0,B,390#3#1
rater1,B,390#3#1
rater2,B,390#3#1
rater0,A,390#4#1
rater1,B,390#4#1
rater2,A,390#4#1
rater0,B,390#3#2
rater1,B,390#3#2
rater2,A,390#3#2
rater0,A,390#2#4
rater1,A,390#2#4
rater2,B,390#2#4
rater0,B,390#4#3
rater1,A,390#4#3
rater2,B,390#4#3
rater0,B,418#0#1
rater1,A,418#0#1
rater2,B,418#0#1
rater0,A,418#0#2
rater1,A,418#0#2
rater2,A,418#0#2
rater0,A,418#0#3
rater1,B,418#0#3
rater2,B,418#0#3
rater0,A,418#4#0
rater1,B,418#4#0
rater2,B,418#4#0
rater0,B,418#2#1
rater1,A,418#2#1
rater2,B,418#2#1
rater0,B,418#1#3
rater1,A,418#1#3
rater2,A,418#1#3
rater0,5,418#1#4
rater1,A,418#1#4
rater2,A,418#1#4
rater0,A,418#2#3
rater1,B,418#2#3
rater2,B,418#2#3
rater0,A,418#2#4
rater1,A,418#2#4
rater2,A,418#2#4
rater0,B,418#3#4
rater1,A,418#3#4
rater2,B,418#3#4
rater0,B,407#0#1
rater1,B,407#0#1
rater2,A,407#0#1
rater0,B,407#2#0
rater1,A,407#2#0
rater2,B,407#2#0
rater0,B,407#3#0
rater1,B,407#3#0
rater2,B,407#3#0
rater0,A,407#0#4
rater1,B,407#0#4
rater2,A,407#0#4
rater0,B,407#1#2
rater1,A,407#1#2
rater2,A,407#1#2
rater0,B,407#1#3
rater1,A,407#1#3
rater2,A,407#1#3
rater0,A,407#1#4
rater1,B,407#1#4
rater2,B,407#1#4
rater0,A,407#3#2
rater1,B,407#3#2
rater2,A,407#3#2
rater0,B,407#2#4
rater1,B,407#2#4
rater2,A,407#2#4
rater0,A,407#4#3
rater1,A,407#4#3
rater2,A,407#4#3
rater0,A,577#1#0
rater1,A,577#1#0
rater2,A,577#1#0
rater0,B,577#0#2
rater1,A,577#0#2
rater2,A,577#0#2
rater0,B,577#3#0
rater1,A,577#3#0
rater2,A,577#3#0
rater0,B,577#4#0
rater1,A,577#4#0
rater2,B,577#4#0
rater0,B,577#1#2
rater1,A,577#1#2
rater2,B,577#1#2
rater0,A,577#1#3
rater1,A,577#1#3
rater2,A,577#1#3
rater0,B,577#4#1
rater1,B,577#4#1
rater2,A,577#4#1
rater0,A,577#3#2
rater1,A,577#3#2
rater2,A,577#3#2
rater0,B,577#2#4
rater1,B,577#2#4
rater2,A,577#2#4
rater0,B,577#4#3
rater1,B,577#4#3
rater2,B,577#4#3
rater0,A,172#1#0
rater1,A,172#1#0
rater2,A,172#1#0
rater0,A,172#0#2
rater1,B,172#0#2
rater2,A,172#0#2
rater0,A,172#0#3
rater1,B,172#0#3
rater2,A,172#0#3
rater0,A,172#4#0
rater1,A,172#4#0
rater2,A,172#4#0
rater0,B,172#1#2
rater1,A,172#1#2
rater2,B,172#1#2
rater0,A,172#1#3
rater1,A,172#1#3
rater2,A,172#1#3
rater0,B,172#1#4
rater1,A,172#1#4
rater2,A,172#1#4
rater0,B,172#3#2
rater1,A,172#3#2
rater2,B,172#3#2
rater0,A,172#4#2
rater1,A,172#4#2
rater2,A,172#4#2
rater0,B,172#4#3
rater1,B,172#4#3
rater2,A,172#4#3
rater0,A,394#1#0
rater1,A,394#1#0
rater2,A,394#1#0
rater0,A,394#0#2
rater1,A,394#0#2
rater2,A,394#0#2
rater0,A,394#3#0
rater1,A,394#3#0
rater2,A,394#3#0
rater0,A,394#0#4
rater1,B,394#0#4
rater2,B,394#0#4
rater0,B,394#2#1
rater1,A,394#2#1
rater2,B,394#2#1
rater0,A,394#3#1
rater1,B,394#3#1
rater2,B,394#3#1
rater0,A,394#1#4
rater1,A,394#1#4
rater2,B,394#1#4
rater0,A,394#2#3
rater1,A,394#2#3
rater2,A,394#2#3
rater0,A,394#2#4
rater1,A,394#2#4
rater2,A,394#2#4
rater0,B,394#3#4
rater1,A,394#3#4
rater2,A,394#3#4
rater0,A,259#1#0
rater1,B,259#1#0
rater2,A,259#1#0
rater0,B,259#0#2
rater1,B,259#0#2
rater2,A,259#0#2
rater0,A,259#3#0
rater1,B,259#3#0
rater2,B,259#3#0
rater0,A,259#4#0
rater1,B,259#4#0
rater2,B,259#4#0
rater0,B,259#2#1
rater1,A,259#2#1
rater2,B,259#2#1
rater0,A,259#1#3
rater1,A,259#1#3
rater2,A,259#1#3
rater0,B,259#4#1
rater1,B,259#4#1
rater2,B,259#4#1
rater0,A,259#2#3
rater1,A,259#2#3
rater2,B,259#2#3
rater0,B,259#4#2
rater1,B,259#4#2
rater2,A,259#4#2
rater0,B,259#4#3
rater1,A,259#4#3
rater2,A,259#4#3
rater0,A,643#1#0
rater1,A,643#1#0
rater2,A,643#1#0
rater0,B,643#0#2
rater1,B,643#0#2
rater2,B,643#0#2
rater0,A,643#0#3
rater1,A,643#0#3
rater2,A,643#0#3
rater0,A,643#4#0
rater1,B,643#4#0
rater2,B,643#4#0
rater0,A,643#2#1
rater1,A,643#2#1
rater2,A,643#2#1
rater0,A,643#1#3
rater1,B,643#1#3
rater2,A,643#1#3
rater0,B,643#1#4
rater1,A,643#1#4
rater2,A,643#1#4
rater0,A,643#2#3
rater1,A,643#2#3
rater2,A,643#2#3
rater0,B,643#2#4
rater1,B,643#2#4
rater2,A,643#2#4
rater0,B,643#3#4
rater1,B,643#3#4
rater2,B,643#3#4
rater0,A,717#0#1
rater1,B,717#0#1
rater2,A,717#0#1
rater0,A,717#2#0
rater1,B,717#2#0
rater2,B,717#2#0
rater0,A,717#0#3
rater1,A,717#0#3
rater2,A,717#0#3
rater0,A,717#0#4
rater1,A,717#0#4
rater2,A,717#0#4
rater0,A,717#1#2
rater1,A,717#1#2
rater2,B,717#1#2
rater0,B,717#3#1
rater1,B,717#3#1
rater2,B,717#3#1
rater0,B,717#1#4
rater1,B,717#1#4
rater2,A,717#1#4
rater0,B,717#2#3
rater1,B,717#2#3
rater2,A,717#2#3
rater0,B,717#2#4
rater1,B,717#2#4
rater2,B,717#2#4
rater0,A,717#4#3
rater1,B,717#4#3
rater2,A,717#4#3
rater0,A,87#0#1
rater1,A,87#0#1
rater2,A,87#0#1
rater0,B,87#2#0
rater1,B,87#2#0
rater2,A,87#2#0
rater0,B,87#0#3
rater1,A,87#0#3
rater2,A,87#0#3
rater0,B,87#4#0
rater1,B,87#4#0
rater2,B,87#4#0
rater0,A,87#1#2
rater1,A,87#1#2
rater2,A,87#1#2
rater0,B,87#3#1
rater1,B,87#3#1
rater2,B,87#3#1
rater0,A,87#1#4
rater1,A,87#1#4
rater2,B,87#1#4
rater0,A,87#2#3
rater1,B,87#2#3
rater2,B,87#2#3
rater0,B,87#4#2
rater1,B,87#4#2
rater2,A,87#4#2
rater0,A,87#3#4
rater1,A,87#3#4
rater2,A,87#3#4
rater0,B,666#0#1
rater1,B,666#0#1
rater2,B,666#0#1
rater0,B,666#0#2
rater1,A,666#0#2
rater2,A,666#0#2
rater0,B,666#0#3
rater1,B,666#0#3
rater2,B,666#0#3
rater0,B,666#4#0
rater1,B,666#4#0
rater2,B,666#4#0
rater0,B,666#1#2
rater1,B,666#1#2
rater2,B,666#1#2
rater0,B,666#3#1
rater1,A,666#3#1
rater2,B,666#3#1
rater0,A,666#1#4
rater1,A,666#1#4
rater2,B,666#1#4
rater0,A,666#3#2
rater1,B,666#3#2
rater2,A,666#3#2
rater0,A,666#4#2
rater1,B,666#4#2
rater2,A,666#4#2
rater0,A,666#3#4
rater1,B,666#3#4
rater2,A,666#3#4
rater0,A,534#1#0
rater1,B,534#1#0
rater2,A,534#1#0
rater0,A,534#0#2
rater1,B,534#0#2
rater2,B,534#0#2
rater0,A,534#0#3
rater1,A,534#0#3
rater2,A,534#0#3
rater0,B,534#4#0
rater1,B,534#4#0
rater2,B,534#4#0
rater0,A,534#1#2
rater1,B,534#1#2
rater2,B,534#1#2
rater0,A,534#1#3
rater1,B,534#1#3
rater2,A,534#1#3
rater0,B,534#4#1
rater1,B,534#4#1
rater2,B,534#4#1
rater0,A,534#2#3
rater1,A,534#2#3
rater2,A,534#2#3
rater0,A,534#4#2
rater1,A,534#4#2
rater2,A,534#4#2
rater0,A,534#3#4
rater1,B,534#3#4
rater2,A,534#3#4
rater0,B,447#0#1
rater1,B,447#0#1
rater2,B,447#0#1
rater0,A,447#0#2
rater1,B,447#0#2
rater2,A,447#0#2
rater0,A,447#3#0
rater1,A,447#3#0
rater2,A,447#3#0
rater0,A,447#0#4
rater1,A,447#0#4
rater2,A,447#0#4
rater0,A,447#2#1
rater1,B,447#2#1
rater2,B,447#2#1
rater0,B,447#1#3
rater1,B,447#1#3
rater2,A,447#1#3
rater0,A,447#1#4
rater1,B,447#1#4
rater2,B,447#1#4
rater0,B,447#2#3
rater1,B,447#2#3
rater2,B,447#2#3
rater0,A,447#4#2
rater1,A,447#4#2
rater2,B,447#4#2
rater0,A,447#4#3
rater1,A,447#4#3
rater2,B,447#4#3
rater0,B,204#1#0
rater1,A,204#1#0
rater2,A,204#1#0
rater0,B,204#2#0
rater1,A,204#2#0
rater2,B,204#2#0
rater0,B,204#0#3
rater1,B,204#0#3
rater2,A,204#0#3
rater0,A,204#0#4
rater1,B,204#0#4
rater2,B,204#0#4
rater0,B,204#2#1
rater1,B,204#2#1
rater2,B,204#2#1
rater0,A,204#1#3
rater1,A,204#1#3
rater2,A,204#1#3
rater0,A,204#1#4
rater1,A,204#1#4
rater2,B,204#1#4
rater0,A,204#3#2
rater1,A,204#3#2
rater2,A,204#3#2
rater0,A,204#4#2
rater1,B,204#4#2
rater2,A,204#4#2
rater0,B,204#4#3
rater1,B,204#4#3
rater2,A,204#4#3
rater0,A,606#0#1
rater1,B,606#0#1
rater2,B,606#0#1
rater0,B,606#0#2
rater1,A,606#0#2
rater2,A,606#0#2
rater0,B,606#3#0
rater1,A,606#3#0
rater2,A,606#3#0
rater0,B,606#0#4
rater1,B,606#0#4
rater2,A,606#0#4
rater0,B,606#1#2
rater1,A,606#1#2
rater2,A,606#1#2
rater0,B,606#3#1
rater1,A,606#3#1
rater2,B,606#3#1
rater0,A,606#4#1
rater1,B,606#4#1
rater2,B,606#4#1
rater0,A,606#3#2
rater1,A,606#3#2
rater2,A,606#3#2
rater0,B,606#2#4
rater1,B,606#2#4
rater2,B,606#2#4
rater0,B,606#4#3
rater1,B,606#4#3
rater2,A,606#4#3
rater0,A,654#1#0
rater1,B,654#1#0
rater2,A,654#1#0
rater0,A,654#0#2
rater1,B,654#0#2
rater2,B,654#0#2
rater0,A,654#0#3
rater1,A,654#0#3
rater2,A,654#0#3
rater0,B,654#0#4
rater1,A,654#0#4
rater2,B,654#0#4
rater0,A,654#1#2
rater1,B,654#1#2
rater2,A,654#1#2
rater0,A,654#3#1
rater1,B,654#3#1
rater2,A,654#3#1
rater0,A,654#1#4
rater1,B,654#1#4
rater2,B,654#1#4
rater0,A,654#3#2
rater1,B,654#3#2
rater2,B,654#3#2
rater0,B,654#2#4
rater1,B,654#2#4
rater2,B,654#2#4
rater0,A,654#3#4
rater1,A,654#3#4
rater2,A,654#3#4
rater0,A,55#0#1
rater1,B,55#0#1
rater2,A,55#0#1
rater0,A,55#2#0
rater1,B,55#2#0
rater2,B,55#2#0
rater0,A,55#0#3
rater1,A,55#0#3
rater2,A,55#0#3
rater0,A,55#4#0
rater1,A,55#4#0
rater2,A,55#4#0
rater0,A,55#2#1
rater1,B,55#2#1
rater2,B,55#2#1
rater0,A,55#3#1
rater1,B,55#3#1
rater2,A,55#3#1
rater0,A,55#1#4
rater1,A,55#1#4
rater2,A,55#1#4
rater0,B,55#3#2
rater1,B,55#3#2
rater2,A,55#3#2
rater0,B,55#2#4
rater1,B,55#2#4
rater2,B,55#2#4
rater0,B,55#4#3
rater1,A,55#4#3
rater2,A,55#4#3
rater0,A,538#0#1
rater1,B,538#0#1
rater2,B,538#0#1
rater0,B,538#0#2
rater1,A,538#0#2
rater2,A,538#0#2
rater0,A,538#3#0
rater1,B,538#3#0
rater2,B,538#3#0
rater0,A,538#4#0
rater1,5,538#4#0
rater2,A,538#4#0
rater0,A,538#1#2
rater1,B,538#1#2
rater2,B,538#1#2
rater0,A,538#1#3
rater1,B,538#1#3
rater2,A,538#1#3
rater0,B,538#1#4
rater1,A,538#1#4
rater2,B,538#1#4
rater0,B,538#3#2
rater1,A,538#3#2
rater2,B,538#3#2
rater0,B,538#2#4
rater1,B,538#2#4
rater2,B,538#2#4
rater0,5,538#4#3
rater1,B,538#4#3
rater2,A,538#4#3
